player,team,position,minutes_played,tackles,interceptions,defensive_actions,defensive_actions_per90,tournament_stage
Michal Sadílek,Czechia,M,183,4,3,7,3.443,Eliminated in Group Stage
Lewis Ferguson,Scotland,M,270,12,4,16,5.333,Eliminated in Group Stage
Kenan Yıldız,Türkiye,F,219,5,1,6,2.466,Eliminated in Group Stage
Zidane Iqbal,Iraq,M,188,4,1,5,2.394,Eliminated in Group Stage
Salem Al-Dawsari,Saudi Arabia,M,246,5,1,6,2.195,Eliminated in Group Stage
Elijah Just,New Zealand,M,265,6,2,8,2.717,Eliminated in Group Stage
Hannes Delcroix,Haiti,D,270,5,5,10,3.333,Eliminated in Group Stage
Deveron Fonville,Curaçao,D,243,5,4,9,3.333,Eliminated in Group Stage
Ali Olwan,Jordan,F,268,2,1,3,1.007,Eliminated in Group Stage
Ladislav Krejčí,Czechia,D,270,8,1,9,3.0,Eliminated in Group Stage
Han-Beom Lee,South Korea,D,270,4,2,6,2.0,Eliminated in Group Stage
Merih Demiral,Türkiye,D,180,1,1,2,1.0,Eliminated in Group Stage
Federico Valverde,Uruguay,M,237,3,3,6,2.278,Eliminated in Group Stage
Michael Boxall,New Zealand,D,206,1,2,3,1.311,Eliminated in Group Stage
Chris Wood,New Zealand,F,270,1,0,1,0.333,Eliminated in Group Stage
Ibrahim Bayesh,Iraq,M,237,6,1,7,2.658,Eliminated in Group Stage
Ricardo Adé,Haiti,D,270,5,5,10,3.333,Eliminated in Group Stage
Seung Ho Paik,South Korea,M,206,1,1,2,0.874,Eliminated in Group Stage
Nizar Al-Rashdan,Jordan,M,256,8,2,10,3.516,Eliminated in Group Stage
Ali Al-Hamadi,Iraq,F,181,3,2,5,2.486,Eliminated in Group Stage
Merchas Doski,Iraq,D,270,13,5,18,6.0,Eliminated in Group Stage
Danley Jean Jacques,Haiti,M,260,13,3,16,5.538,Eliminated in Group Stage
Patrik Schick,Czechia,F,180,0,0,0,0.0,Eliminated in Group Stage
Jack Hendry,Scotland,D,270,2,0,2,0.667,Eliminated in Group Stage
Montassar Talbi,Tunisia,D,270,3,5,8,2.667,Eliminated in Group Stage
Sebastián Cáceres,Uruguay,D,270,1,2,3,1.0,Eliminated in Group Stage
Cristian Martínez,Panama,M,243,7,1,8,2.963,Eliminated in Group Stage
Guillermo Varela,Uruguay,D,270,2,7,9,3.0,Eliminated in Group Stage
Juan Sanabria,Uruguay,M,205,7,1,8,3.512,Eliminated in Group Stage
Abbosbek Fayzullaev,Uzbekistan,M,223,6,1,7,2.825,Eliminated in Group Stage
Shoja Khalilzadeh,Iran,D,270,6,3,9,3.0,Eliminated in Group Stage
Akmal Mozgovoy,Uzbekistan,M,217,2,2,4,1.659,Eliminated in Group Stage
Joe Bell,New Zealand,M,244,5,4,9,3.32,Eliminated in Group Stage
Eldor Shomurodov,Uzbekistan,F,269,6,0,6,2.007,Eliminated in Group Stage
John McGinn,Scotland,M,261,0,0,0,0.0,Eliminated in Group Stage
Akam Hashem,Iraq,D,270,2,2,4,1.333,Eliminated in Group Stage
Issa Laye,Qatar,D,270,3,1,4,1.333,Eliminated in Group Stage
Kim Min-jae,South Korea,D,245,3,2,5,1.837,Eliminated in Group Stage
Martin Expérience,Haiti,D,270,10,4,14,4.667,Eliminated in Group Stage
Grant Hanley,Scotland,D,180,1,1,2,1.0,Eliminated in Group Stage
Andrés Andrade,Panama,D,270,7,3,10,3.333,Eliminated in Group Stage
Carlos Harvey,Panama,M,268,6,1,7,2.351,Eliminated in Group Stage
Abdulelah Al-Amri,Saudi Arabia,D,240,3,4,7,2.625,Eliminated in Group Stage
Mohammad Mohebi,Iran,F,245,3,1,4,1.469,Eliminated in Group Stage
Agustín Canobbio,Uruguay,M,225,6,2,8,3.2,Eliminated in Group Stage
Boualem Khoukhi,Qatar,D,270,5,3,8,2.667,Eliminated in Group Stage
Noor Al-Rawabdeh,Jordan,M,270,11,2,13,4.333,Eliminated in Group Stage
Nasser Al-Dawsari,Saudi Arabia,M,206,5,4,9,3.932,Eliminated in Group Stage
