# Nafis - Task 1: Defensive Work Rate by Tournament Stage (FIFA World Cup 2026, HIT140 group project)
# Source: Sofascore (api.sofascore.com), FIFA World Cup 2026 tournament id 16 / season id 58210. Population = all outfield players (excludes goalkeepers) with >=180 total minutes played across the tournament (n=484). tournament_stage: "Advanced to Knockout" = team reached the Round of 32; "Eliminated in Group Stage" = team did not.
player,team,position,minutes_played,tackles,interceptions,defensive_actions,defensive_actions_per90,tournament_stage
Yoel Bárcenas,Panama,M,250,2,2,4,1.440,Eliminated in Group Stage
Lamine Camara,Senegal,M,250,3,2,5,1.800,Advanced to Knockout
Tahith Chong,Curaçao,M,249,2,1,3,1.084,Eliminated in Group Stage
Kwasi Sibo,Ghana,M,249,1,2,3,1.084,Advanced to Knockout
Amir Al-Ammari,Iraq,M,248,2,2,4,1.452,Eliminated in Group Stage
Salem Al-Dawsari,Saudi Arabia,M,246,5,1,6,2.195,Eliminated in Group Stage
Daizen Maeda,Japan,F,245,6,2,8,2.939,Advanced to Knockout
Thapelo Maseko,South Africa,M,245,6,2,8,2.939,Advanced to Knockout
Kim Min-jae,South Korea,D,245,3,2,5,1.837,Eliminated in Group Stage
Mohammad Mohebi,Iran,F,245,3,1,4,1.469,Eliminated in Group Stage
Nicolas Pépé,Côte d'Ivoire,F,244,1,3,4,1.475,Advanced to Knockout
Gustavo Velázquez,Paraguay,D,244,1,1,2,0.738,Advanced to Knockout
Joe Bell,New Zealand,M,244,5,4,9,3.320,Eliminated in Group Stage
Thiago Almada,Argentina,M,243,5,0,5,1.852,Advanced to Knockout
Nicolás Otamendi,Argentina,D,243,4,5,9,3.333,Advanced to Knockout
Cristian Martínez,Panama,M,243,7,1,8,2.963,Eliminated in Group Stage
Deveron Fonville,Curaçao,D,243,5,4,9,3.333,Eliminated in Group Stage
Anis Ben Slimane,Tunisia,M,242,2,2,4,1.488,Eliminated in Group Stage
Hamdy Fathy,Egypt,M,241,11,3,14,5.228,Advanced to Knockout
Abdulelah Al-Amri,Saudi Arabia,D,240,3,4,7,2.625,Eliminated in Group Stage
Maxence Lacroix,France,D,240,3,3,6,2.250,Advanced to Knockout
Akram Afif,Qatar,M,239,1,0,1,0.377,Eliminated in Group Stage
Edson Álvarez,Mexico,M,239,8,3,11,4.142,Advanced to Knockout
Kevin Danso,Austria,D,239,2,0,2,0.753,Advanced to Knockout
Xaver Schlager,Austria,M,239,6,7,13,4.895,Advanced to Knockout
Firas Al-Buraikan,Saudi Arabia,F,239,1,1,2,0.753,Eliminated in Group Stage
Otabek Shukurov,Uzbekistan,M,238,3,0,3,1.134,Eliminated in Group Stage
Federico Valverde,Uruguay,M,237,3,3,6,2.278,Eliminated in Group Stage
Benjamin Tahirović,Bosnia & Herzegovina,M,237,6,4,10,3.797,Advanced to Knockout
Jürgen Locadia,Curaçao,F,237,0,1,1,0.380,Eliminated in Group Stage
Ibrahim Bayesh,Iraq,M,237,6,1,7,2.658,Eliminated in Group Stage
Pape Gueye,Senegal,M,236,3,4,7,2.669,Advanced to Knockout
Lucas Paquetá,Brazil,M,236,8,5,13,4.958,Advanced to Knockout
Ali Ahmed,Canada,M,236,7,3,10,3.814,Advanced to Knockout
Romelu Lukaku,Belgium,F,236,0,0,0,0.000,Advanced to Knockout
Marcus Pedersen,Norway,M,236,2,0,2,0.763,Advanced to Knockout
Ange-Yoan Bonny,Côte d'Ivoire,F,236,3,1,4,1.525,Advanced to Knockout
Livano Comenencia,Curaçao,D,235,2,10,12,4.596,Eliminated in Group Stage
José Luis Rodríguez,Panama,M,235,4,0,4,1.532,Eliminated in Group Stage
Paul Wanner,Austria,M,234,3,2,5,1.923,Advanced to Knockout
Oscar Bobb,Norway,M,233,5,2,7,2.704,Advanced to Knockout
Brian Brobbey,Netherlands,F,232,2,0,2,0.776,Advanced to Knockout
Nicolas Jackson,Senegal,F,232,2,0,2,0.776,Advanced to Knockout
Shogo Taniguchi,Japan,D,231,0,1,1,0.390,Advanced to Knockout
Jackson Irvine,Australia,M,229,3,1,4,1.572,Advanced to Knockout
Marcus Rashford,England,F,229,2,0,2,0.786,Advanced to Knockout
Yaya Sithole,South Africa,M,229,8,5,13,5.109,Advanced to Knockout
Esmir Bajraktarević,Bosnia & Herzegovina,F,229,0,4,4,1.572,Advanced to Knockout
Arthur Theate,Belgium,D,227,1,3,4,1.586,Advanced to Knockout
Tim Payne,New Zealand,D,227,4,1,5,1.982,Eliminated in Group Stage
Julian Ryerson,Norway,M,226,11,0,11,4.381,Advanced to Knockout
Jonas Adjei Adjetey,Ghana,D,225,4,1,5,2.000,Advanced to Knockout
Mohamed Kanno,Saudi Arabia,M,225,8,3,11,4.400,Eliminated in Group Stage
Agustín Canobbio,Uruguay,M,225,6,2,8,3.200,Eliminated in Group Stage
Andy Robertson,Scotland,D,225,2,2,4,1.600,Eliminated in Group Stage
Joel Ordóñez,Ecuador,D,225,5,1,6,2.400,Advanced to Knockout
Christian Pulišić,USA,F,224,3,0,3,1.205,Advanced to Knockout
Amar Memić,Bosnia & Herzegovina,M,224,3,1,4,1.607,Advanced to Knockout
Abbosbek Fayzullaev,Uzbekistan,M,223,6,1,7,2.825,Eliminated in Group Stage
Ruben Providence,Haiti,M,223,6,0,6,2.422,Eliminated in Group Stage
Aziz Behich,Australia,D,223,6,1,7,2.825,Advanced to Knockout
Liberato Cacace,New Zealand,M,223,5,3,8,3.229,Eliminated in Group Stage
Ismail Jakobs,Senegal,D,220,5,2,7,2.864,Advanced to Knockout
Kenan Yıldız,Türkiye,F,219,5,1,6,2.466,Eliminated in Group Stage
Alexander Bernhardsson,Sweden,M,219,5,2,7,2.877,Advanced to Knockout
Nilson Angulo,Ecuador,M,218,2,2,4,1.651,Advanced to Knockout
Mousa Tamari,Jordan,F,217,2,0,2,0.829,Eliminated in Group Stage
Akmal Mozgovoy,Uzbekistan,M,217,2,2,4,1.659,Eliminated in Group Stage
Isak Hien,Sweden,D,217,3,1,4,1.659,Advanced to Knockout
Anthony Elanga,Sweden,F,216,0,2,2,0.833,Advanced to Knockout
Junya Ito,Japan,M,215,4,1,5,2.093,Advanced to Knockout
Gilberto Mora,Mexico,M,215,3,2,5,2.093,Advanced to Knockout
Evidence Makgopa,South Africa,F,214,4,1,5,2.103,Advanced to Knockout
Hassan Tambakti,Saudi Arabia,D,213,3,3,6,2.535,Eliminated in Group Stage
Anass Salah-Eddine,Morocco,D,212,7,1,8,3.396,Advanced to Knockout
Edmilson Junior,Qatar,M,212,2,0,2,0.849,Eliminated in Group Stage
Ricardo Pepi,USA,F,212,2,0,2,0.849,Advanced to Knockout
Saman Ghoddos,Iran,M,211,7,4,11,4.692,Eliminated in Group Stage
Mikel Merino,Spain,M,210,3,3,6,2.571,Advanced to Knockout
Lucas Herrington,Australia,D,210,2,2,4,1.714,Advanced to Knockout
Sarpreet Singh,New Zealand,M,210,1,1,2,0.857,Eliminated in Group Stage
Eberechi Eze,England,M,209,0,0,0,0.000,Advanced to Knockout
Christ Inao Oulaï,Côte d'Ivoire,M,208,6,6,12,5.192,Advanced to Knockout
Nasser Al-Dawsari,Saudi Arabia,M,206,5,4,9,3.932,Eliminated in Group Stage
Seung Ho Paik,South Korea,M,206,1,1,2,0.874,Eliminated in Group Stage
Michael Boxall,New Zealand,D,206,1,2,3,1.311,Eliminated in Group Stage
Juan Sanabria,Uruguay,M,205,7,1,8,3.512,Eliminated in Group Stage
Paul Okon-Engstler,Australia,M,204,6,4,10,4.412,Advanced to Knockout
João Félix,Portugal,F,204,6,4,10,4.412,Advanced to Knockout
Milad Mohammadi,Iran,D,204,7,2,9,3.971,Eliminated in Group Stage
Amine Ben Hmida,Tunisia,D,203,12,1,13,5.764,Eliminated in Group Stage
Tijjani Reijnders,Netherlands,M,201,0,2,2,0.896,Advanced to Knockout
Johan Manzambi,Switzerland,M,200,0,0,0,0.000,Advanced to Knockout
Israel Reyes,Mexico,D,200,2,2,4,1.800,Advanced to Knockout
Jarell Quansah,England,D,200,3,0,3,1.350,Advanced to Knockout
Brian Gutiérrez,Mexico,M,198,2,2,4,1.818,Advanced to Knockout
Ivan Šunjić,Bosnia & Herzegovina,M,198,5,0,5,2.273,Advanced to Knockout
Ngal'ayel Mukau,DR Congo,M,196,2,3,5,2.296,Advanced to Knockout
Sebastian Berhalter,USA,M,195,3,3,6,2.769,Advanced to Knockout
Moise Bombito,Canada,D,194,1,1,2,0.928,Advanced to Knockout
Marcos Llorente,Spain,D,193,7,1,8,3.731,Advanced to Knockout
Cédric Bakambu,DR Congo,F,193,0,0,0,0.000,Advanced to Knockout
Giuliano Simeone,Argentina,M,193,6,1,7,3.264,Advanced to Knockout
Ao Tanaka,Japan,M,192,9,1,10,4.688,Advanced to Knockout
Federico Viñas,Uruguay,F,192,2,1,3,1.406,Eliminated in Group Stage
Pathé Ismaël Ciss,Senegal,M,191,1,0,1,0.471,Advanced to Knockout
Thomas Meunier,Belgium,D,190,3,2,5,2.368,Advanced to Knockout
Michael Gregoritsch,Austria,F,190,1,0,1,0.474,Advanced to Knockout
Damián Bobadilla,Paraguay,M,190,6,5,11,5.211,Advanced to Knockout
Cyle Larin,Canada,F,189,0,0,0,0.000,Advanced to Knockout
Pavel Šulc,Czechia,F,189,2,0,2,0.952,Eliminated in Group Stage
Gonzalo Montiel,Argentina,D,189,3,3,6,2.857,Advanced to Knockout
Nikola Vlašić,Croatia,M,189,8,2,10,4.762,Advanced to Knockout
Wilson Isidor,Haiti,F,188,1,1,2,0.957,Eliminated in Group Stage
Zidane Iqbal,Iraq,M,188,4,1,5,2.394,Eliminated in Group Stage
Donyell Malen,Netherlands,F,187,0,0,0,0.000,Advanced to Knockout
Ben Gannon-Doak,Scotland,M,187,2,0,2,0.963,Eliminated in Group Stage
Moteb Al-Harbi,Saudi Arabia,D,187,0,4,4,1.925,Eliminated in Group Stage
Manuel Ugarte,Uruguay,M,186,3,3,6,2.903,Eliminated in Group Stage
Nathan Patterson,Scotland,D,186,4,3,7,3.387,Eliminated in Group Stage
Amad Diallo,Côte d'Ivoire,M,184,5,2,7,3.424,Advanced to Knockout
Takehiro Tomiyasu,Japan,D,184,2,3,5,2.446,Advanced to Knockout
Michal Sadílek,Czechia,M,183,4,3,7,3.443,Eliminated in Group Stage
Chemsdine Talbi,Morocco,M,183,2,2,4,1.967,Advanced to Knockout
Nathan-Dylan Saliba,Canada,M,182,6,4,10,4.945,Advanced to Knockout
Ali Al-Hamadi,Iraq,F,181,3,2,5,2.486,Eliminated in Group Stage
Josué Casimir,Haiti,M,181,0,0,0,0.000,Eliminated in Group Stage
Hakan Çalhanoğlu,Türkiye,M,180,4,1,5,2.500,Eliminated in Group Stage
Grant Hanley,Scotland,D,180,1,1,2,1.000,Eliminated in Group Stage
Derrick Luckassen,Ghana,D,180,3,0,3,1.500,Advanced to Knockout
Redouane Halhal,Morocco,D,180,1,1,2,1.000,Advanced to Knockout
Merih Demiral,Türkiye,D,180,1,1,2,1.000,Eliminated in Group Stage
Stjepan Radeljić,Bosnia & Herzegovina,D,180,3,0,3,1.500,Advanced to Knockout
Abdullah Al-Khaibari,Saudi Arabia,M,180,2,2,4,2.000,Eliminated in Group Stage
Abdulla Abdullaev,Uzbekistan,M,180,4,3,7,3.500,Eliminated in Group Stage
Philipp Lienhart,Austria,D,180,1,1,2,1.000,Advanced to Knockout
Sherzod Nasrullaev,Uzbekistan,D,180,2,2,4,2.000,Eliminated in Group Stage
Patrik Schick,Czechia,F,180,0,0,0,0.000,Eliminated in Group Stage
Omar Rekik,Tunisia,D,180,4,3,7,3.500,Eliminated in Group Stage
Steve Kapuadi,DR Congo,D,180,1,1,2,1.000,Advanced to Knockout
