# Nafis - Task 1: Defensive Work Rate by Tournament Stage (FIFA World Cup 2026, HIT140 group project)
# Source: Sofascore (api.sofascore.com), FIFA World Cup 2026 tournament id 16 / season id 58210. Population = all outfield players (excludes goalkeepers) with >=180 total minutes played across the tournament (n=484). tournament_stage: "Advanced to Knockout" = team reached the Round of 32; "Eliminated in Group Stage" = team did not.
player,team,position,minutes_played,tackles,interceptions,defensive_actions,defensive_actions_per90,tournament_stage
Roberto Alvarado,Mexico,F,430,9,2,11,2.302,Advanced to Knockout
Mohamed Salah,Egypt,M,428,1,2,3,0.631,Advanced to Knockout
Bruno Fernandes,Portugal,M,423,8,0,8,1.702,Advanced to Knockout
Jonathan David,Canada,F,421,4,3,7,1.496,Advanced to Knockout
Bruno Guimarães,Brazil,M,419,11,2,13,2.792,Advanced to Knockout
Julián Quiñones,Mexico,F,414,4,0,4,0.870,Advanced to Knockout
Jefferson Lerma,Colombia,M,412,2,5,7,1.529,Advanced to Knockout
Dan Ndoye,Switzerland,M,408,6,5,11,2.426,Advanced to Knockout
Danilo,Brazil,D,405,7,7,14,3.111,Advanced to Knockout
Djed Spence,England,D,402,19,6,25,5.597,Advanced to Knockout
Daniel Muñoz,Colombia,M,399,10,6,16,3.609,Advanced to Knockout
Anthony Gordon,England,F,399,5,3,8,1.805,Advanced to Knockout
Désiré Doué,France,F,398,10,2,12,2.714,Advanced to Knockout
Nuno Mendes,Portugal,D,397,9,0,9,2.040,Advanced to Knockout
Stephen Eustaquio,Canada,M,391,11,3,14,3.223,Advanced to Knockout
João Neves,Portugal,M,391,13,5,18,4.143,Advanced to Knockout
Jan Paul van Hecke,Netherlands,D,390,9,4,13,3.000,Advanced to Knockout
Alessandro Circati,Australia,D,390,10,2,12,2.769,Advanced to Knockout
Virgil van Dijk,Netherlands,D,390,2,3,5,1.154,Advanced to Knockout
Diney Borges,Cabo Verde,D,390,11,4,15,3.462,Advanced to Knockout
Pico,Cabo Verde,D,390,7,7,14,3.231,Advanced to Knockout
Johan Mojica,Colombia,D,390,5,3,8,1.846,Advanced to Knockout
Moussa Niakhaté,Senegal,D,390,2,4,6,1.385,Advanced to Knockout
Denzel Dumfries,Netherlands,M,390,6,1,7,1.615,Advanced to Knockout
Harry Souttar,Australia,D,390,2,4,6,1.385,Advanced to Knockout
Krépin Diatta,Senegal,M,390,12,3,15,3.462,Advanced to Knockout
Junior Alonso,Paraguay,D,390,11,4,15,3.462,Advanced to Knockout
Matías Galarza,Paraguay,M,388,17,7,24,5.567,Advanced to Knockout
Kevin De Bruyne,Belgium,M,387,3,0,3,0.698,Advanced to Knockout
Julio Enciso,Paraguay,M,387,5,1,6,1.395,Advanced to Knockout
Manu Koné,France,M,386,7,3,10,2.332,Advanced to Knockout
Ismael Saibari,Morocco,M,385,3,0,3,0.701,Advanced to Knockout
Bradley Barcola,France,F,384,5,1,6,1.406,Advanced to Knockout
Ayyoub Bouaddi,Morocco,M,384,9,2,11,2.578,Advanced to Knockout
Vitinha,Portugal,M,381,2,2,4,0.945,Advanced to Knockout
Jhon Arias,Colombia,M,381,15,2,17,4.016,Advanced to Knockout
Tajon Buchanan,Canada,M,380,7,1,8,1.895,Advanced to Knockout
Casemiro,Brazil,M,379,14,6,20,4.749,Advanced to Knockout
Mostafa Ziko,Egypt,M,375,5,3,8,1.920,Advanced to Knockout
Alexander Freeman,USA,D,373,14,6,20,4.826,Advanced to Knockout
Jonathan Tah,Germany,D,373,3,1,4,0.965,Advanced to Knockout
Jesús Gallardo,Mexico,D,372,3,7,10,2.419,Advanced to Knockout
Luc De Fougerolles,Canada,D,372,8,2,10,2.419,Advanced to Knockout
Cody Gakpo,Netherlands,M,371,3,2,5,1.213,Advanced to Knockout
Rami Rabia,Egypt,D,368,8,4,12,2.935,Advanced to Knockout
Ismaïla Sarr,Senegal,F,366,1,2,3,0.738,Advanced to Knockout
Emam Ashour,Egypt,M,366,3,4,7,1.721,Advanced to Knockout
Malik Tillman,USA,M,365,8,6,14,3.452,Advanced to Knockout
Idrissa Gana Gueye,Senegal,M,364,6,2,8,1.978,Advanced to Knockout
Sadio Mané,Senegal,M,364,4,3,7,1.731,Advanced to Knockout
Florian Wirtz,Germany,M,363,7,2,9,2.231,Advanced to Knockout
Moisés Caicedo,Ecuador,M,360,9,4,13,3.250,Advanced to Knockout
Pedro Vite,Ecuador,M,360,15,6,21,5.250,Advanced to Knockout
Aurélien Tchouaméni,France,M,360,17,6,23,5.750,Advanced to Knockout
Rúben Dias,Portugal,D,360,5,5,10,2.500,Advanced to Knockout
Yoane Wissa,DR Congo,F,360,1,0,1,0.250,Advanced to Knockout
Johan Vásquez,Mexico,D,360,3,2,5,1.250,Advanced to Knockout
Gideon Mensah,Ghana,D,360,7,8,15,3.750,Advanced to Knockout
Viktor Gyökeres,Sweden,F,360,2,0,2,0.500,Advanced to Knockout
Ivan Perišić,Croatia,M,360,8,4,12,3.000,Advanced to Knockout
Aiden O'Neill,Australia,M,360,6,2,8,2.000,Advanced to Knockout
Chris Richards,USA,D,360,5,4,9,2.250,Advanced to Knockout
Mbekezeli Mbokazi,South Africa,D,360,7,4,11,2.750,Advanced to Knockout
Marcel Sabitzer,Austria,M,360,5,6,11,2.750,Advanced to Knockout
Tim Ream,USA,D,360,1,6,7,1.750,Advanced to Knockout
Willian Pacho,Ecuador,D,360,5,8,13,3.250,Advanced to Knockout
Gonzalo Plata,Ecuador,M,360,9,2,11,2.750,Advanced to Knockout
Khuliso Mudau,South Africa,D,360,9,10,19,4.750,Advanced to Knockout
Chancel Mbemba,DR Congo,D,360,4,1,5,1.250,Advanced to Knockout
Ramy Bensebaini,Algeria,D,360,10,7,17,4.250,Advanced to Knockout
Ime Okon,South Africa,D,360,3,5,8,2.000,Advanced to Knockout
Josip Šutalo,Croatia,D,360,5,6,11,2.750,Advanced to Knockout
Josip Stanišić,Croatia,D,360,4,4,8,2.000,Advanced to Knockout
Denis Zakaria,Switzerland,M,360,8,9,17,4.250,Advanced to Knockout
Hiroki Itō,Japan,D,360,4,1,5,1.250,Advanced to Knockout
Axel Tuanzebe,DR Congo,D,360,5,1,6,1.500,Advanced to Knockout
Aïssa Mandi,Algeria,D,360,5,4,9,2.250,Advanced to Knockout
Farès Chaïbi,Algeria,M,360,5,3,8,2.000,Advanced to Knockout
Gustaf Lagerbielke,Sweden,D,360,13,4,17,4.250,Advanced to Knockout
Konrad Laimer,Austria,D,360,10,2,12,3.000,Advanced to Knockout
Antoine Semenyo,Ghana,M,360,2,0,2,0.500,Advanced to Knockout
Mohanad Lasheen,Egypt,M,359,16,8,24,6.017,Advanced to Knockout
Alexander Isak,Sweden,F,358,2,0,2,0.503,Advanced to Knockout
Bukayo Saka,England,F,357,13,1,14,3.529,Advanced to Knockout
Victor Lindelöf,Sweden,D,357,2,4,6,1.513,Advanced to Knockout
Ermedin Demirović,Bosnia & Herzegovina,F,356,4,1,5,1.264,Advanced to Knockout
Kai Havertz,Germany,F,355,3,1,4,1.014,Advanced to Knockout
Aaron Wan-Bissaka,DR Congo,D,355,10,7,17,4.310,Advanced to Knockout
Joshua Kimmich,Germany,M,353,6,4,10,2.550,Advanced to Knockout
Charles De Ketelaere,Belgium,F,353,6,5,11,2.805,Advanced to Knockout
Pedro Neto,Portugal,M,352,4,0,4,1.023,Advanced to Knockout
Kevin Pina,Cabo Verde,,351,8,3,11,2.821,Advanced to Knockout
Ibrahim Maza,Algeria,F,351,5,0,5,1.282,Advanced to Knockout
Antonee Robinson,USA,D,349,12,6,18,4.642,Advanced to Knockout
Morgan Rogers,England,M,349,5,0,5,1.289,Advanced to Knockout
Jorge Sánchez,Mexico,D,349,9,5,14,3.610,Advanced to Knockout
Aubrey Modiba,South Africa,D,347,11,4,15,3.890,Advanced to Knockout
Franck Kessié,Côte d'Ivoire,M,347,4,0,4,1.037,Advanced to Knockout
Ryan Gravenberch,Netherlands,M,347,4,6,10,2.594,Advanced to Knockout
Nicolas Raskin,Belgium,M,346,10,2,12,3.121,Advanced to Knockout
Erik Lira,Mexico,D,346,7,2,9,2.341,Advanced to Knockout
Chadi Riad,Morocco,D,345,2,4,6,1.565,Advanced to Knockout
Tyler Adams,USA,M,342,8,7,15,3.947,Advanced to Knockout
Yasin Ayari,Sweden,M,341,5,3,8,2.111,Advanced to Knockout
Piero Hincapié,Ecuador,D,341,12,4,16,4.223,Advanced to Knockout
Alexander Sørloth,Norway,F,341,1,0,1,0.264,Advanced to Knockout
Sead Kolašinac,Bosnia & Herzegovina,D,339,8,2,10,2.655,Advanced to Knockout
Nathan Ngoy,Belgium,D,336,7,6,13,3.482,Advanced to Knockout
Samuel Moutoussamy,DR Congo,M,333,14,1,15,4.054,Advanced to Knockout
Rafik Belghali,Algeria,M,333,7,1,8,2.162,Advanced to Knockout
Stefan Posch,Austria,D,333,4,9,13,3.514,Advanced to Knockout
Gabriel Gudmundsson,Sweden,D,332,6,4,10,2.711,Advanced to Knockout
Luis Javier Suárez,Colombia,F,332,4,0,4,1.084,Advanced to Knockout
Yan Diomande,Côte d'Ivoire,F,331,13,4,17,4.622,Advanced to Knockout
Frenkie de Jong,Netherlands,M,331,9,8,17,4.622,Advanced to Knockout
Fabián Ruiz,Spain,M,331,7,4,11,2.991,Advanced to Knockout
Daichi Kamada,Japan,M,331,4,1,5,1.360,Advanced to Knockout
Ryan Mendes,Cabo Verde,M,331,5,4,9,2.447,Advanced to Knockout
John Stones,England,D,330,2,0,2,0.545,Advanced to Knockout
Leroy Sané,Germany,M,328,6,2,8,2.195,Advanced to Knockout
Reece James,England,D,327,6,3,9,2.477,Advanced to Knockout
Omar Marmoush,Egypt,F,326,4,2,6,1.656,Advanced to Knockout
Antonio Nusa,Norway,F,325,4,2,6,1.662,Advanced to Knockout
Martin Baturina,Croatia,M,324,3,1,4,1.111,Advanced to Knockout
Ayase Ueda,Japan,F,324,1,0,1,0.278,Advanced to Knockout
Hans Vanaken,Belgium,M,324,3,1,4,1.111,Advanced to Knockout
Omar Alderete,Paraguay,D,322,0,3,3,0.839,Advanced to Knockout
Raúl Jiménez,Mexico,F,320,1,0,1,0.281,Advanced to Knockout
Luka Modrić,Croatia,M,319,7,2,9,2.539,Advanced to Knockout
Arthur Masuaku,DR Congo,D,318,8,0,8,2.264,Advanced to Knockout
Nikola Katić,Bosnia & Herzegovina,D,318,10,4,14,3.962,Advanced to Knockout
James Rodríguez,Colombia,M,317,4,1,5,1.420,Advanced to Knockout
César Montes,Mexico,D,315,2,2,4,1.143,Advanced to Knockout
John Yeboah,Ecuador,F,315,3,3,6,1.714,Advanced to Knockout
Nicolas Seiwald,Austria,M,315,10,4,14,4.000,Advanced to Knockout
Connor Metcalfe,Australia,M,315,5,2,7,2.000,Advanced to Knockout
Derek Cornelius,Canada,D,315,5,2,7,2.000,Advanced to Knockout
Folarin Balogun,USA,F,314,0,1,1,0.287,Advanced to Knockout
João Cancelo,Portugal,D,314,7,5,12,3.439,Advanced to Knockout
Jérémy Doku,Belgium,M,311,1,3,4,1.158,Advanced to Knockout
Lautaro Martínez,Argentina,F,311,3,0,3,0.868,Advanced to Knockout
Keito Nakamura,Japan,M,310,4,1,5,1.452,Advanced to Knockout
Fredrik Aursnes,Norway,M,310,12,1,13,3.774,Advanced to Knockout
Facundo Medina,Argentina,D,309,9,1,10,2.913,Advanced to Knockout
Jordan Bos,Australia,D,309,5,3,8,2.330,Advanced to Knockout
Diego Gómez,Paraguay,M,307,11,9,20,5.863,Advanced to Knockout
Jordan Ayew,Ghana,F,304,3,1,4,1.184,Advanced to Knockout
Fabian Rieder,Switzerland,M,304,6,1,7,2.072,Advanced to Knockout
Steven Moreira,Cabo Verde,D,301,3,2,5,1.495,Advanced to Knockout
Sergiño Dest,USA,D,298,1,3,4,1.208,Advanced to Knockout
Matheus Cunha,Brazil,F,293,6,3,9,2.765,Advanced to Knockout
Enner Valencia,Ecuador,F,290,2,0,2,0.621,Advanced to Knockout
Rubén Vargas,Switzerland,M,289,5,2,7,2.180,Advanced to Knockout
Rayan,Brazil,M,289,4,3,7,2.180,Advanced to Knockout
Petar Sučić,Croatia,M,288,5,1,6,1.875,Advanced to Knockout
