# Nafis - Task 4: Age and Physical Workload (FIFA World Cup 2026, HIT140 group project)
# Source: Sofascore (api.sofascore.com), FIFA World Cup 2026 tournament id 16 / season id 58210. Population = all outfield players (excludes goalkeepers) with >=180 total minutes played across the tournament AND at least one match with tracked physical data (n=482; 2 players with >=180 min were dropped for missing date-of-birth data in the source: Lionel Messi, Kevin Pina). distance_km_per90 = total km covered across tracked matches / (total minutes played / 90). Age computed as of tournament start (2026-06-11).
player,team,position,age,minutes_played,distance_km_per90,age_group
Krépin Diatta,Senegal,M,27,390,9.969,25 and older
Junior Alonso,Paraguay,D,33,390,9.411,25 and older
Matías Galarza,Paraguay,M,24,388,10.677,Under 25
Kevin De Bruyne,Belgium,M,34,387,10.258,25 and older
Julio Enciso,Paraguay,M,22,387,10.379,Under 25
Manu Koné,France,M,25,386,10.194,25 and older
Ismael Saibari,Morocco,M,25,385,10.202,25 and older
Bradley Barcola,France,F,23,384,9.448,Under 25
Ayyoub Bouaddi,Morocco,M,18,384,10.566,Under 25
Vitinha,Portugal,M,26,381,10.557,25 and older
Jhon Arias,Colombia,M,28,381,9.347,25 and older
Tajon Buchanan,Canada,M,27,380,9.564,25 and older
Casemiro,Brazil,M,34,379,10.156,25 and older
Mostafa Ziko,Egypt,M,29,375,10.668,25 and older
Alexander Freeman,USA,D,21,373,10.513,Under 25
Jonathan Tah,Germany,D,30,373,9.261,25 and older
Jesús Gallardo,Mexico,D,31,372,9.728,25 and older
Luc De Fougerolles,Canada,D,20,372,3.515,Under 25
Cody Gakpo,Netherlands,M,27,371,9.327,25 and older
Rami Rabia,Egypt,D,33,368,7.645,25 and older
Ismaïla Sarr,Senegal,F,28,366,10.844,25 and older
Emam Ashour,Egypt,M,28,366,9.652,25 and older
Malik Tillman,USA,M,24,365,10.657,Under 25
Idrissa Gana Gueye,Senegal,M,36,364,9.722,25 and older
Sadio Mané,Senegal,M,34,364,9.996,25 and older
Florian Wirtz,Germany,M,23,363,10.626,Under 25
Moisés Caicedo,Ecuador,M,24,360,10.240,Under 25
Pedro Vite,Ecuador,M,24,360,10.460,Under 25
Aurélien Tchouaméni,France,M,26,360,10.745,25 and older
Rúben Dias,Portugal,D,29,360,9.902,25 and older
Yoane Wissa,DR Congo,F,29,360,9.790,25 and older
Johan Vásquez,Mexico,D,27,360,9.363,25 and older
Gideon Mensah,Ghana,D,27,360,9.533,25 and older
Viktor Gyökeres,Sweden,F,28,360,9.848,25 and older
Ivan Perišić,Croatia,M,37,360,9.838,25 and older
Aiden O'Neill,Australia,M,27,360,11.203,25 and older
Chris Richards,USA,D,26,360,9.555,25 and older
Mbekezeli Mbokazi,South Africa,D,20,360,6.375,Under 25
Marcel Sabitzer,Austria,M,32,360,9.980,25 and older
Tim Ream,USA,D,38,360,8.843,25 and older
Willian Pacho,Ecuador,D,24,360,6.440,Under 25
Gonzalo Plata,Ecuador,M,25,360,10.662,25 and older
Khuliso Mudau,South Africa,D,31,360,9.430,25 and older
Chancel Mbemba,DR Congo,D,31,360,8.945,25 and older
Ramy Bensebaini,Algeria,D,31,360,8.670,25 and older
Ime Okon,South Africa,D,22,360,9.117,Under 25
Josip Šutalo,Croatia,D,26,360,9.352,25 and older
Josip Stanišić,Croatia,D,26,360,10.195,25 and older
Denis Zakaria,Switzerland,M,29,360,6.775,25 and older
Hiroki Itō,Japan,D,27,360,9.185,25 and older
Axel Tuanzebe,DR Congo,D,28,360,8.985,25 and older
Aïssa Mandi,Algeria,D,34,360,8.830,25 and older
Farès Chaïbi,Algeria,M,23,360,10.853,Under 25
Gustaf Lagerbielke,Sweden,D,26,360,9.527,25 and older
Konrad Laimer,Austria,D,29,360,10.168,25 and older
Antoine Semenyo,Ghana,M,26,360,9.887,25 and older
Mohanad Lasheen,Egypt,M,30,359,10.256,25 and older
Alexander Isak,Sweden,F,26,358,8.573,25 and older
Bukayo Saka,England,F,24,357,10.334,Under 25
Victor Lindelöf,Sweden,D,31,357,8.945,25 and older
Ermedin Demirović,Bosnia & Herzegovina,F,28,356,9.741,25 and older
Kai Havertz,Germany,F,27,355,10.382,25 and older
Aaron Wan-Bissaka,DR Congo,D,28,355,9.877,25 and older
Joshua Kimmich,Germany,M,31,353,10.196,25 and older
Charles De Ketelaere,Belgium,F,25,353,9.762,25 and older
Pedro Neto,Portugal,M,26,352,9.583,25 and older
Ibrahim Maza,Algeria,F,20,351,10.921,Under 25
Antonee Robinson,USA,D,28,349,10.550,25 and older
Morgan Rogers,England,M,23,349,11.581,Under 25
Jorge Sánchez,Mexico,D,28,349,10.024,25 and older
Aubrey Modiba,South Africa,D,30,347,9.428,25 and older
Franck Kessié,Côte d'Ivoire,M,29,347,10.829,25 and older
Ryan Gravenberch,Netherlands,M,24,347,9.643,Under 25
Nicolas Raskin,Belgium,M,25,346,10.826,25 and older
Erik Lira,Mexico,D,26,346,10.210,25 and older
Chadi Riad,Morocco,D,23,345,7.291,Under 25
Tyler Adams,USA,M,27,342,10.618,25 and older
Yasin Ayari,Sweden,M,22,341,10.037,Under 25
Piero Hincapié,Ecuador,D,24,341,9.929,Under 25
Alexander Sørloth,Norway,F,30,341,10.095,25 and older
Sead Kolašinac,Bosnia & Herzegovina,D,32,339,9.512,25 and older
Nathan Ngoy,Belgium,D,23,336,9.276,Under 25
Samuel Moutoussamy,DR Congo,M,29,333,11.084,25 and older
Rafik Belghali,Algeria,M,24,333,9.865,Under 25
Stefan Posch,Austria,D,29,333,10.011,25 and older
Gabriel Gudmundsson,Sweden,D,27,332,9.474,25 and older
Luis Javier Suárez,Colombia,F,28,332,8.620,25 and older
Yan Diomande,Côte d'Ivoire,F,19,331,9.337,Under 25
Frenkie de Jong,Netherlands,M,29,331,10.098,25 and older
Fabián Ruiz,Spain,M,30,331,10.914,25 and older
Daichi Kamada,Japan,M,29,331,9.979,25 and older
Ryan Mendes,Cabo Verde,M,36,331,9.797,25 and older
John Stones,England,D,32,330,8.670,25 and older
Leroy Sané,Germany,M,30,328,9.897,25 and older
Reece James,England,D,26,327,9.322,25 and older
Omar Marmoush,Egypt,F,27,326,9.135,25 and older
Antonio Nusa,Norway,F,21,325,9.485,Under 25
Martin Baturina,Croatia,M,23,324,10.039,Under 25
Ayase Ueda,Japan,F,27,324,9.486,25 and older
Hans Vanaken,Belgium,M,33,324,11.261,25 and older
Omar Alderete,Paraguay,D,29,322,8.662,25 and older
Raúl Jiménez,Mexico,F,35,320,8.634,25 and older
Luka Modrić,Croatia,M,40,319,9.824,25 and older
Arthur Masuaku,DR Congo,D,32,318,8.867,25 and older
Nikola Katić,Bosnia & Herzegovina,D,29,318,9.504,25 and older
James Rodríguez,Colombia,M,34,317,9.099,25 and older
César Montes,Mexico,D,29,315,8.223,25 and older
John Yeboah,Ecuador,F,25,315,9.037,25 and older
Nicolas Seiwald,Austria,M,25,315,10.854,25 and older
Connor Metcalfe,Australia,M,26,315,10.426,25 and older
Derek Cornelius,Canada,D,28,315,5.086,25 and older
Folarin Balogun,USA,F,24,314,9.519,Under 25
João Cancelo,Portugal,D,32,314,10.078,25 and older
Jérémy Doku,Belgium,M,24,311,9.541,Under 25
Lautaro Martínez,Argentina,F,28,311,6.199,25 and older
Keito Nakamura,Japan,M,25,310,9.865,25 and older
Fredrik Aursnes,Norway,M,30,310,10.971,25 and older
Facundo Medina,Argentina,D,27,309,9.536,25 and older
Jordan Bos,Australia,D,23,309,9.964,Under 25
Diego Gómez,Paraguay,M,23,307,10.642,Under 25
Jordan Ayew,Ghana,F,34,304,9.761,25 and older
Fabian Rieder,Switzerland,M,24,304,7.943,Under 25
Steven Moreira,Cabo Verde,D,31,301,9.828,25 and older
Sergiño Dest,USA,D,25,298,10.474,25 and older
Matheus Cunha,Brazil,F,27,293,9.814,25 and older
Enner Valencia,Ecuador,F,36,290,8.863,25 and older
Rubén Vargas,Switzerland,M,27,289,9.171,25 and older
Rayan,Brazil,M,19,289,9.906,Under 25
Petar Sučić,Croatia,M,22,288,11.725,Under 25
Noni Madueke,England,F,24,288,9.297,Under 25
Nabil Bentaleb,Algeria,M,31,288,10.241,25 and older
Miguel Almirón,Paraguay,M,32,288,10.034,25 and older
Sidny Lopes Cabral,Cabo Verde,D,23,286,9.469,Under 25
Rayan Aït-Nouri,Algeria,D,25,284,9.665,25 and older
Nathaniel Brown,Germany,D,22,283,10.218,Under 25
Ferran Torres,Spain,F,26,283,10.635,25 and older
Jamiro Monteiro,Cabo Verde,M,32,283,9.925,25 and older
Ritsu Doan,Japan,M,27,282,9.664,25 and older
Marvin Senaya,Ghana,D,25,280,9.440,25 and older
Odilon Kossounou,Côte d'Ivoire,D,25,280,8.987,25 and older
David Alaba,Austria,D,33,278,8.825,25 and older
Guéla Doué,Côte d'Ivoire,D,23,277,9.520,Under 25
Kerim Alajbegović,Bosnia & Herzegovina,M,18,277,10.183,Under 25
Aleksandar Pavlović,Germany,M,22,274,11.450,Under 25
Felix Nmecha,Germany,M,25,272,10.185,25 and older
Caleb Yirenkyi,Ghana,M,20,272,10.962,Under 25
Jamal Musiala,Germany,M,23,271,10.634,Under 25
Mateo Kovačić,Croatia,M,32,271,10.239,25 and older
